Timestamp,Город или область где вы живете / Yashayotgan shaharingiz yoki viloyat,Возраст / Yoshingiz,Пол / Jinsingiz,Уровень английского / Ingliz tilini bilishingiz darajasi,Образование / Maʼlumotingiz,Должность / Lavozim,Уровень / Daraja,Язык программирования и технологии используемые на работе / Ish jarayonida ishlatiladigan dasturlash tili yoki texnologiyalar,Общий опыт работы (в годах) / Umumiy tajribangiz (yillarda),Опыт работы на текущем месте (в годах) / Joriy ish joyingizdagi tajribangiz (yillarda),Главный офис компании находится в / Kompaniyaning bosh ofisi qayerda?,Тип компании / Kompaniyaning yoʻnalishi yoki turi,Размер компании / Kompaniya hajmi,Работаю / Ishlayman,Компания предлагает / Kompaniya quyidagi qoʻshimchalarni beradi,Получаю зарплату / Maosh olaman,Зарплата в месяц / Oylik maosh,На сколько изменилась зарплата за 12 месяцев / Soʻnggi 12 oy ichida maoshingiz qanchaga oʻzgardi?,Оставьте ваш фидбек и комментарии / Fikringiz va izohingizni qoldiring
2/11/2020 11:59:06,Ташкент / Toshkent shahri,35,Мужской / Erkak,Upper Intermediate (выше среднего / oʻrtadan yuqori),Высшее / Oliy,Designer,Senior,,>10,7-10,Европа / Yevropa,Сервисная / Xizmat koʻrsatuvchi,до 200 человек / 200 kishigacha,в офисе / ofisda,"Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye, Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Компенсация проезда или затрат на бензин / Yoʻlkira haqi qoplanadi: ommaviy transport yoki benzin, Бонусы от завершённых проектов / Tugallangan loyihalardan bonus beriladi",в долларах США / AQSh dollarida,1000,,
2/11/2020 11:07:15,Ташкент / Toshkent shahri,42,Мужской / Erkak,Intermediate (средний / oʻrtacha),Высшее / Oliy,Software Engineer,Middle,PHP,7-10,<1,Узбекистан / Oʻzbekiston,Продуктовая / Mahsulotga yoʻnaltirilgan,до 1000 человек / 1000 kishigacha,в офисе / ofisda,Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi),в долларах США / AQSh dollarida,750,150,
2/11/2020 10:57:22,Ташкент / Toshkent shahri,26,Мужской / Erkak,Intermediate (средний / oʻrtacha),Незаконченное высшее / Yakunlanmagan oliy,Designer,Middle,,1-3,1-3,Freelance,Outsourcing,до 10 человек / 10 kishigacha,удаленно / masofadan (remote),,в сумах / soʻmda,15000000,,
2/11/2020 11:51:50,Ташкент / Toshkent shahri,23,Мужской / Erkak,Beginner (ниже среднего / oʻrtadan past),Колледж / Kollej,Software Engineer,Middle,"PHP, Frontend Development (JavaScript, TypeScript), Web (HTML/CSS)",1-3,1-3,Узбекистан / Oʻzbekiston,Сервисная / Xizmat koʻrsatuvchi,до 10 человек / 10 kishigacha,в офисе / ofisda,"Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye, Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi)",в долларах США / AQSh dollarida,500,100,
2/11/2020 13:59:00,Ташкент / Toshkent shahri,32,Мужской / Erkak,Advanced (продвинутый / yuqori),Высшее / Oliy,"CTO, Director of Engineering",Lead,"C#/.NET, PHP, Java/Scala, Frontend Development (JavaScript, TypeScript), Web (HTML/CSS)",>10,7-10,Европа / Yevropa,Outsourcing,до 50 человек / 50 kishigacha,в офисе / ofisda,"Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye, Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi)",в долларах США / AQSh dollarida,4500,0,
2/12/2020 11:27:31,Ташкент / Toshkent shahri,32,Женской / Ayol,Advanced (продвинутый / yuqori),Колледж / Kollej,"CTO, Director of Engineering",Lead,"iOS (Swift, Objective C), Frontend Development (JavaScript, TypeScript), Web (HTML/CSS), C++, Game Development (Unity, Unreal Engine)",7-10,3-5,США / AQSh,Outsourcing,до 200 человек / 200 kishigacha,в офисе / ofisda,"Питание в офисе (обеды) / Ofisda (tekinga) ovqatlanish (tushlik), Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye, Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Возможность удалённой работы / Masofadan ishlash imkoniyati, Компенсация проезда или затрат на бензин / Yoʻlkira haqi qoplanadi: ommaviy transport yoki benzin, Компенсация затрат на спорт (фитнес, бассейн) / Sportga chiqimlar qoplanadi (fitnes, basseyn), Бонусы от завершённых проектов / Tugallangan loyihalardan bonus beriladi, Акции, опционы (equity) / Aksiya yoki opsionlar beriladi, Возможность переезда в другой город или страну / Boshqa shahar yoki davlatga koʻchish uchun yordam beriladi",в долларах США / AQSh dollarida,5400,0,
2/12/2020 11:38:43,Ташкент / Toshkent shahri,21,Мужской / Erkak,Intermediate (средний / oʻrtacha),Среднее / Oʻrta,Data Scientist,Junior,"PHP, Java/Scala, SQL/PL-SQL, Frontend Development (JavaScript, TypeScript), Web (HTML/CSS), Python, C++",1-3,<1,Узбекистан / Oʻzbekiston,Outsourcing,до 50 человек / 50 kishigacha,в офисе / ofisda,"Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye, Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Возможность удалённой работы / Masofadan ishlash imkoniyati, Бонусы от завершённых проектов / Tugallangan loyihalardan bonus beriladi",в сумах / soʻmda,2500000,500000,Omad
2/11/2020 10:44:35,Ташкент / Toshkent shahri,32,Женской / Ayol,Advanced (продвинутый / yuqori),Высшее / Oliy,Designer,Senior,,7-10,3-5,Европа / Yevropa,Outsourcing,до 50 человек / 50 kishigacha,удаленно / masofadan (remote),"Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Возможность удалённой работы / Masofadan ishlash imkoniyati, Компенсация затрат на спорт (фитнес, бассейн) / Sportga chiqimlar qoplanadi (fitnes, basseyn), Бонусы от завершённых проектов / Tugallangan loyihalardan bonus beriladi, Возможность переезда в другой город или страну / Boshqa shahar yoki davlatga koʻchish uchun yordam beriladi",в долларах США / AQSh dollarida,4000,500,
2/11/2020 11:58:05,Ташкент / Toshkent shahri,29,Мужской / Erkak,Advanced (продвинутый / yuqori),Высшее / Oliy,Designer,Senior,,3-5,1-3,Европа / Yevropa,Outsourcing,до 50 человек / 50 kishigacha,удаленно / masofadan (remote),"Возможность удалённой работы / Masofadan ishlash imkoniyati, Бонусы от завершённых проектов / Tugallangan loyihalardan bonus beriladi",в долларах США / AQSh dollarida,2000,500,
2/12/2020 11:58:56,Ташкент / Toshkent shahri,36,Мужской / Erkak,Intermediate (средний / oʻrtacha),Среднее / Oʻrta,Designer,Lead,,>10,3-5,Российская Федерация / Rossiya Federatsiyasi,Outsourcing,до 200 человек / 200 kishigacha,удаленно / masofadan (remote),"Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Возможность удалённой работы / Masofadan ishlash imkoniyati, Бонусы от завершённых проектов / Tugallangan loyihalardan bonus beriladi, Возможность переезда в другой город или страну / Boshqa shahar yoki davlatga koʻchish uchun yordam beriladi",в долларах США / AQSh dollarida,4200,,
